List Size = 4096, Threads = 1, error = 0, time (sec) =   0.0014, qsort_time =   0.0009
List Size = 4096, Threads = 2, error = 0, time (sec) =   0.0015, qsort_time =   0.0010
List Size = 4096, Threads = 4, error = 0, time (sec) =   0.0021, qsort_time =   0.0005
List Size = 4096, Threads = 16, error = 0, time (sec) =   0.0058, qsort_time =   0.0006
List Size = 4096, Threads = 64, error = 0, time (sec) =   0.0110, qsort_time =   0.0010
List Size = 4096, Threads = 256, error = 0, time (sec) =   0.0463, qsort_time =   0.0011
List Size = 4096, Threads = 1024, error = 0, time (sec) =   0.2468, qsort_time =   0.0007
List Size = 1048576, Threads = 1, error = 0, time (sec) =   0.1846, qsort_time =   0.1787
List Size = 1048576, Threads = 2, error = 0, time (sec) =   0.0984, qsort_time =   0.1799
List Size = 1048576, Threads = 4, error = 0, time (sec) =   0.0558, qsort_time =   0.1821
List Size = 1048576, Threads = 16, error = 0, time (sec) =   0.0221, qsort_time =   0.1834
List Size = 1048576, Threads = 64, error = 0, time (sec) =   0.0279, qsort_time =   0.1815
List Size = 1048576, Threads = 256, error = 0, time (sec) =   0.0590, qsort_time =   0.1810
List Size = 1048576, Threads = 1024, error = 0, time (sec) =   0.2742, qsort_time =   0.1788
List Size = 268435456, Threads = 1, error = 0, time (sec) =  65.2685, qsort_time =  64.9086
List Size = 268435456, Threads = 2, error = 0, time (sec) =  33.0830, qsort_time =  64.9375
List Size = 268435456, Threads = 4, error = 0, time (sec) =  16.7397, qsort_time =  64.8398
List Size = 268435456, Threads = 16, error = 0, time (sec) =   4.3435, qsort_time =  64.8975
List Size = 268435456, Threads = 64, error = 0, time (sec) =   1.9684, qsort_time =  64.8453
List Size = 268435456, Threads = 256, error = 0, time (sec) =   1.8213, qsort_time =  64.8301
List Size = 268435456, Threads = 1024, error = 0, time (sec) =   2.4773, qsort_time =  65.3399
